SO HD,NGAY,MA KH,TEN KH,MA NV,Tên NV,MÃ HH,TÊN SP,SL,ĐƠN GIÁ,THÀNH TIỀN,(+VAT),NHÃN HÀNG,CỬA HÀNG,HỆ THỐNG,20231231
23120007820,01/12/2023,COOP_CDOC,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6050004,Pin Fujitsu - R03(4B) F-GP - AAA     (3112),20,13860,277200,304920,FUJITSU,COOP CHAU DOC,COOP MART,20231231
23120007820,01/12/2023,COOP_CDOC,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6050002,Pin Fujitsu - R6(4B) F-GP - AA    (2115),20,13860,277200,304920,FUJITSU,COOP CHAU DOC,COOP MART,20231231
23120007821,01/12/2023,COOP_CMAU,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6050004,Pin Fujitsu - R03(4B) F-GP - AAA     (3112),20,13860,277200,304920,FUJITSU,COOP CA MAU,COOP MART,20231231
23120007822,01/12/2023,COOP_HTIEN,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6050002,Pin Fujitsu - R6(4B) F-GP - AA    (2115),3,13860,41580,45738.00000000001,FUJITSU,COOP HA TIEN,COOP MART,20231231
23120007823,01/12/2023,COOP_GDAU,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6050004,Pin Fujitsu - R03(4B) F-GP - AAA     (3112),12,13860,166320,182952.00000000003,FUJITSU,COOP GO DAU TAY NINH,COOP MART,20231231
23120007824,01/12/2023,COOP_AGIANG,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6010003,Pin Fujitsu - LR03(2B) FU-W- FI - AAA     (3500),6,18000,108000,118800.00000000001,FUJITSU,COOP TAN CHAU AN GIANG,COOP MART,20231231
23120007824,01/12/2023,COOP_AGIANG,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6010001,Pin Fujitsu - LR6(2B) FU-W-FI  - AA       (2404),6,18000,108000,118800.00000000001,FUJITSU,COOP TAN CHAU AN GIANG,COOP MART,20231231
23120007824,01/12/2023,COOP_AGIANG,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6050004,Pin Fujitsu - R03(4B) F-GP - AAA     (3112),1,13860,13860,15246.000000000002,FUJITSU,COOP TAN CHAU AN GIANG,COOP MART,20231231
23120007824,01/12/2023,COOP_AGIANG,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6050002,Pin Fujitsu - R6(4B) F-GP - AA    (2115),1,13860,13860,15246.000000000002,FUJITSU,COOP TAN CHAU AN GIANG,COOP MART,20231231
23120007825,01/12/2023,COOP_DHAI,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6010004,Pin Fujitsu - LR03(4B) FU-W-FI - AAA    (5504),12,35100,421200,463320.00000000006,FUJITSU,COOP DUYEN HAI TRA VINH,COOP MART,20231231
23120007825,01/12/2023,COOP_DHAI,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6010013,Pin Fujitsu - LR6(4B+2B) FU-W-FI-AA       (3005),12,39000,468000,514800.00000000006,FUJITSU,COOP DUYEN HAI TRA VINH,COOP MART,20231231
23120007825,01/12/2023,COOP_DHAI,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6050005,Pin Fujitsu - R14(2B) F-GP - C       (1118),12,16200,194400,213840.00000000003,FUJITSU,COOP DUYEN HAI TRA VINH,COOP MART,20231231
23120007826,01/12/2023,COOP_PDONG,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6010003,Pin Fujitsu - LR03(2B) FU-W- FI - AAA     (3500),20,18000,360000,396000.00000000006,FUJITSU,COOP PHUOC DONG TAY NINH,COOP MART,20231231
23120007826,01/12/2023,COOP_PDONG,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6010004,Pin Fujitsu - LR03(4B) FU-W-FI - AAA    (5504),10,35100,351000,386100.00000000006,FUJITSU,COOP PHUOC DONG TAY NINH,COOP MART,20231231
23120007826,01/12/2023,COOP_PDONG,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6010001,Pin Fujitsu - LR6(2B) FU-W-FI  - AA       (2404),20,18000,360000,396000.00000000006,FUJITSU,COOP PHUOC DONG TAY NINH,COOP MART,20231231
23120007826,01/12/2023,COOP_PDONG,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6010013,Pin Fujitsu - LR6(4B+2B) FU-W-FI-AA       (3005),10,39000,390000,429000.00000000006,FUJITSU,COOP PHUOC DONG TAY NINH,COOP MART,20231231
23120007826,01/12/2023,COOP_PDONG,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6050004,Pin Fujitsu - R03(4B) F-GP - AAA     (3112),20,13860,277200,304920,FUJITSU,COOP PHUOC DONG TAY NINH,COOP MART,20231231
23120007826,01/12/2023,COOP_PDONG,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6050005,Pin Fujitsu - R14(2B) F-GP - C       (1118),20,16200,324000,356400,FUJITSU,COOP PHUOC DONG TAY NINH,COOP MART,20231231
23120007826,01/12/2023,COOP_PDONG,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6050002,Pin Fujitsu - R6(4B) F-GP - AA    (2115),20,13860,277200,304920,FUJITSU,COOP PHUOC DONG TAY NINH,COOP MART,20231231
23120007827,01/12/2023,COOP_PRI,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6010003,Pin Fujitsu - LR03(2B) FU-W- FI - AAA     (3500),10,18000,180000,198000.00000000003,FUJITSU,COOP PHAN RI CUA,COOP MART,20231231
23120007827,01/12/2023,COOP_PRI,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6010004,Pin Fujitsu - LR03(4B) FU-W-FI - AAA    (5504),12,35100,421200,463320.00000000006,FUJITSU,COOP PHAN RI CUA,COOP MART,20231231
23120007827,01/12/2023,COOP_PRI,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6010001,Pin Fujitsu - LR6(2B) FU-W-FI  - AA       (2404),10,18000,180000,198000.00000000003,FUJITSU,COOP PHAN RI CUA,COOP MART,20231231
23120007827,01/12/2023,COOP_PRI,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6010013,Pin Fujitsu - LR6(4B+2B) FU-W-FI-AA       (3005),24,39000,936000,1029600.0000000001,FUJITSU,COOP PHAN RI CUA,COOP MART,20231231
23120007828,01/12/2023,COOP_CGUOC,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6010004,Pin Fujitsu - LR03(4B) FU-W-FI - AAA    (5504),10,35100,351000,386100.00000000006,FUJITSU,COOP CAN GIUOC,COOP MART,20231231
23120007828,01/12/2023,COOP_CGUOC,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6010013,Pin Fujitsu - LR6(4B+2B) FU-W-FI-AA       (3005),10,39000,390000,429000.00000000006,FUJITSU,COOP CAN GIUOC,COOP MART,20231231
23120007828,01/12/2023,COOP_CGUOC,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6050004,Pin Fujitsu - R03(4B) F-GP - AAA     (3112),2,13860,27720,30492.000000000004,FUJITSU,COOP CAN GIUOC,COOP MART,20231231
23120007828,01/12/2023,COOP_CGUOC,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6050005,Pin Fujitsu - R14(2B) F-GP - C       (1118),10,16200,162000,178200,FUJITSU,COOP CAN GIUOC,COOP MART,20231231
